event_id,start_date,end_date,event,source_fires,source_region,impacted_us_regions,evidence,evidence_level,attribution_confidence,impacted_us_states,primary_source_ids,source_title,source_url,quantitatively_comparable
hist-1950-09-great-smoke-pall,1950-09-24,1950-09-30,Great Smoke Pall,Chinchaga and other western Canadian fires,Northern Alberta; northeastern British Columbia,North-central states; Great Lakes; New England; Atlantic Coast to Florida; parts of the Ohio and Tennessee valleys,Documentary evidence level 2; confirmed attribution,2,confirmed,AL; FL; IL; KY; ME; MI; NH; NY; OH; TN; VT; WI,great-smoke-pall-1950,The Great Smoke Pall — September 24–30 1950,https://doi.org/10.1080/00431672.1950.9927067,false
hist-1988-08-yellowstone,1988-08-20,1988-09-11,Greater Yellowstone smoke conditions,1988 Greater Yellowstone fires,Greater Yellowstone Area,Greater Yellowstone communities and park region,Documentary evidence level 2; confirmed attribution,2,confirmed,ID; MT; WY,nps-yellowstone-smoke-1988|nps-yellowstone-fires-1988,Smoke Conditions August 20 1988,https://www.nps.gov/features/yell/slidefile/fire/wildfire88/smokeconditions/page-6.htm,false
hist-1998-05-mexico-central-america,1998-05-12,1998-05-20,Smoke and haze from Mexican and Central American fires,Mexico and Central America fire outbreak,Mexico; Guatemala; Honduras,Texas; Oklahoma; Louisiana; Florida and other southern states,Documentary evidence level 4; confirmed attribution,4,confirmed,FL; LA; OK; TX,epa-mexico-fires-1998|epa-mexico-pm25-samples-1998|epa-mexico-pm25-followup-1998|epa-air-quality-trends-1998,Haze from Mexican and Central American Fires,https://www.epa.gov/archive/epapages/newsroom_archive/newsreleases/20e33e459cc4275f852570d6005e7deb.html,false
hist-1998-06-florida,1998-06-24,1998-07-06,Central Florida wildfire-smoke air-quality episode,Central Florida wildfire outbreak,Central Florida,Central Florida,Documentary evidence level 4; confirmed attribution,4,confirmed,FL,epa-air-quality-trends-1998|epa-florida-fire-1998-text,National Air Quality and Emissions Trends Report 1998,https://www.epa.gov/sites/default/files/2017-11/documents/trends_report_1998.pdf,false
hist-2000-07-western-us,2000-07-27,2000-07-31,Western U.S. multi-state smoke outbreak,Multiple western U.S. wildfires,Western United States,Western United States,Documentary evidence level 1; confirmed attribution,1,confirmed,AZ; CA; CO; ID; MT; NM; NV; TX; UT; WA; WY,nasa-western-fires-2000,Extensive Fires in the Western U.S.,https://earthobservatory.nasa.gov/images/733/extensive-fires-in-the-western-us,false
hist-2000-07-montana-wyoming,2000-07-30,2000-07-30,Montana and Wyoming smoke pall,Multiple Montana and Wyoming wildfires,Montana; Wyoming,Montana and Wyoming,Documentary evidence level 1; confirmed attribution,1,confirmed,MT; WY,nasa-montana-wyoming-2000,Smoke over Montana and Wyoming,https://earthobservatory.nasa.gov/images/739/smoke-over-montana-and-wyoming,false
hist-2000-08-bitterroot,2000-08-21,2000-08-29,Bitterroot Mountains smoke episode,Bitterroot-area fires,Montana; Idaho,Northern Idaho and western Montana valleys,Documentary evidence level 1; confirmed attribution,1,confirmed,ID; MT,nasa-bitterroot-2000,Smoke in the Bitterroot Mountains,https://www.earthobservatory.nasa.gov/images/795/smoke-in-the-bitterroot-mountains,false
hist-2001-08-siberia-alaska-pnw,2001-08-05,2001-08-10,Siberian smoke reaches Alaska and the Pacific Northwest,Siberian boreal forest fires,Siberia,Alaska; coastal British Columbia and Washington,Documentary evidence level 1; probable attribution,1,probable,AK; WA,nasa-siberia-smoke-2001,Smoke Blankets Siberia,https://earthobservatory.nasa.gov/images/1678/smoke-blankets-siberia,false
hist-2001-11-appalachians,2001-11-09,2001-11-23,Appalachian wildfire smoke,Multiple Appalachian wildfires,Southern West Virginia; Kentucky; Tennessee,Central and southern Appalachians,Documentary evidence level 1; confirmed attribution,1,confirmed,KY; TN; WV,nasa-appalachian-smoke-2001,Wildfires in Eastern U.S.,https://science.nasa.gov/earth/earth-observatory/wildfires-in-eastern-us-1949/,false
hist-2002-05-central-america-texas,2002-05-04,2002-05-04,Central American fire smoke over Texas,Fires in tropical Mexico and Central America,Mexico; Central America,Texas and the U.S. Gulf Coast,Documentary evidence level 1; confirmed attribution,1,confirmed,LA; TX,nasa-central-america-texas-2002,Fires in Mexico and Central America,https://www.earthobservatory.nasa.gov/images/event/9346/fires-in-mexico-and-central-america,false
hist-2002-07-quebec-eastern-us,2002-07-06,2002-07-08,Quebec smoke over the eastern United States,Quebec forest fires,Quebec,Great Lakes; Northeast; Mid-Atlantic,Documentary evidence level 3; confirmed attribution,3,confirmed,DC; IL; MA; MD; MI; NH; NJ; NY; OH; PA; VA,nasa-quebec-smoke-2002|nasa-aura-quebec-2002,Fires in Quebec Canada Send Smoke to U.S.,https://earthobservatory.nasa.gov/images/9828/fires-in-quebec-canada-send-smoke-to-us,false
hist-2002-07-oregon,2002-07-15,2002-08-29,Oregon wildfire-smoke season,Florence; Tiller Complex; other Oregon fires,Oregon,Oregon and nearby Pacific Northwest,Documentary evidence level 1; confirmed attribution,1,confirmed,OR; WA,nasa-oregon-fires-2002,Fires Scorch Oregon,https://earthobservatory.nasa.gov/images/event/9873/fires-scorch-oregon,false
hist-2002-08-alaska,2002-08-04,2002-08-06,Alaska heavy-smoke episode,Multiple lightning-caused Alaska fires,Interior Alaska,Interior Alaska,Documentary evidence level 1; confirmed attribution,1,confirmed,AK,nasa-alaska-smoke-2002,Fires and Heavy Smoke Across Alaska,https://earthobservatory.nasa.gov/images/2674/fires-and-heavy-smoke-across-alaska,false
hist-2003-03-yucatan-florida,2003-03-18,2003-03-18,Yucatan and Central American smoke reaches Florida,Fires in southern Mexico and northern Central America,Yucatan Peninsula; Guatemala; Chiapas,Southern Florida,Documentary evidence level 1; confirmed attribution,1,confirmed,FL,nasa-yucatan-florida-2003,Smoke Across the Yucatan and Central America,https://www.earthobservatory.nasa.gov/images/3300/smoke-across-the-yucatan-and-central-america,false
hist-2003-08-oregon,2003-08-21,2003-08-21,Oregon Booth and Bear Butte smoke plumes,Booth and Bear Butte fires,Oregon,Oregon,Documentary evidence level 1; confirmed attribution,1,confirmed,OR,nasa-oregon-fires-2003,Fires in Oregon,https://earthobservatory.nasa.gov/images/12016/fires-in-oregon,false
hist-2003-10-southern-california,2003-10-25,2003-11-02,Southern California wildfire-smoke episode,Cedar; Old; Paradise; Simi and other October 2003 fires,Southern California,Southern California; Central Valley,Documentary evidence level 2; confirmed attribution,2,confirmed,CA,nasa-socal-smoke-2003|nasa-california-co-2003,Wildfires Rage in Southern California,https://www.earthobservatory.nasa.gov/images/3915/wildfires-rage-in-southern-california,false
hist-2004-06-alaska-yukon,2004-06-25,2004-06-30,Alaska and Yukon smoke outbreak,Multiple Alaska and Yukon wildfires,Eastern Alaska; Yukon,Eastern and Interior Alaska,Documentary evidence level 2; confirmed attribution,2,confirmed,AK,nasa-alaska-canada-2004|nasa-alaska-blanket-2004,Fires in Alaska and Northern Canada,https://earthobservatory.nasa.gov/images/13351/fires-in-alaska-and-northern-canada,false
hist-2004-08-alaska-yukon-long-range,2004-08-17,2004-08-22,Alaska and Yukon long-range particle-pollution episode,Large Alaska and Yukon fire complexes,Interior Alaska; Yukon,Alaska; northern continental United States; transported particle pollution as far south as Texas,Documentary evidence level 4; confirmed attribution,4,confirmed,AK; TX,nasa-regional-air-quality-2004|nasa-tracking-natural-pollution-2004,Forest Fires Affect Regional Air Quality,https://www.earthobservatory.nasa.gov/images/4758/forest-fires-affect-regional-air-quality,false
hist-2005-08-alaska,2005-08-12,2005-08-14,Interior Alaska smoke and air-quality warnings,Multiple Interior Alaska wildfires,Interior Alaska,Interior Alaska,Documentary evidence level 1; confirmed attribution,1,confirmed,AK,nasa-alaska-smoke-2005,Fires and Smoke in Alaska,https://visibleearth.nasa.gov/images/74632/fires-and-smoke-in-alaska/74634l,false
