year,metric_id,model_id,status,monitor_source_tier,as_of_date,calendar_days_in_scope,days_with_valid_monitor_data,high_pm25_monitor_days,smoke_coincident_high_pm25_monitor_site_days,smoke_coincident_high_pm25_county_days,broad_proxy_days_10m,indicative_county_population_days,peak_indicative_county_population,peak_date,event_included_monitor_site_days,event_included_smoke_coincident_high_pm25_site_days,balanced_panel_smoke_coincident_high_pm25_site_days,balanced_panel_broad_proxy_days_10m,balanced_panel_indicative_county_population_days,balanced_panel_peak_indicative_county_population,balanced_panel_peak_date,conceptually_consistent_screen,specific_fire_qualifier_codes_available,comparable_to_stanford,aqs_data_through,airnow_supplement_start,airnow_data_through,hms_data_through,hms_last_polygon_date,monitored_sites,monitored_counties,qualifying_counties,balanced_panel_sites_defined,balanced_panel_sites_observed
2006,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2006-12-31,365,365,285,315,238,1,86108122,28741153,2006-07-04,2343,15,58,0,34451141,9357318,2006-07-04,true,false,false,2006-12-31,,,2006-12-31,2006-12-31,1291,764,133,117,117
2007,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2007-12-31,365,365,299,1211,878,15,446936669,40439949,2007-08-07,2338,229,239,3,179418110,16500453,2007-10-26,true,false,false,2007-12-31,,,2007-12-31,2007-12-31,1282,754,322,117,117
2008,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2008-12-31,366,366,266,515,401,11,298263681,28017008,2008-07-29,2272,77,103,4,133791166,17315887,2008-07-04,true,false,false,2008-12-31,,,2008-12-31,2008-12-31,1283,751,142,117,117
2009,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2009-12-31,365,365,220,71,58,5,125387708,15807084,2009-08-16,6387,11,13,2,28964096,12432234,2009-08-17,true,false,false,2009-12-31,,,2009-12-31,2009-12-31,1309,759,33,117,117
2010,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2010-12-31,365,365,225,69,61,0,32020455,4999539,2010-05-31,11038,10,18,0,14760394,2579705,2010-05-31,true,false,false,2010-12-31,,,2010-12-31,2010-12-31,1299,765,44,117,117
2011,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2011-12-31,365,365,272,288,237,1,102592007,14695690,2011-06-09,9536,52,59,0,33841010,5500234,2011-08-30,true,false,false,2011-12-31,,,2011-12-31,2011-12-31,1256,753,133,117,117
2012,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2012-12-31,366,366,265,434,371,1,63280553,10321304,2012-09-03,12272,168,124,0,13618656,2376575,2012-09-13,true,false,false,2012-12-31,,,2012-12-31,2012-12-31,1245,736,91,117,117
2013,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2013-12-31,365,365,223,210,158,2,70207557,20018378,2013-07-05,12567,88,28,1,25755755,17170487,2013-07-05,true,false,false,2013-12-31,,,2013-12-31,2013-12-31,1248,738,56,117,117
2014,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2014-12-31,365,365,211,166,124,0,29056028,8329897,2014-07-04,11476,64,21,0,6437672,2707303,2014-06-09,true,false,false,2014-12-31,,,2014-12-31,2014-12-30,1271,749,72,117,117
2015,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2015-12-31,365,365,218,859,674,3,114961271,21879440,2015-07-05,8439,268,137,0,27802306,6756922,2015-08-23,true,false,false,2015-12-31,,,2015-12-31,2015-12-30,1288,767,205,117,117
2016,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2016-12-31,366,366,183,193,168,0,66352143,9943046,2016-07-24,7745,63,46,0,14075642,3549875,2016-11-14,true,false,false,2016-12-31,,,2016-12-31,2016-12-31,1261,751,92,117,117
2017,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2017-12-31,365,365,225,1798,1221,6,270971855,20025036,2017-09-04,12989,381,327,0,84635786,7265904,2017-08-03,true,false,false,2017-12-31,,,2017-12-31,2017-12-31,1274,749,182,117,117
2018,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2018-12-31,365,365,204,2285,1450,20,451146181,27948189,2018-11-11,32927,328,312,1,117680457,13115633,2018-11-11,true,false,false,2018-12-31,,,2018-12-31,2018-12-31,1283,754,193,117,117
2019,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2019-12-31,365,365,140,89,67,0,24598552,9960206,2019-10-11,56336,16,13,0,2468245,901362,2019-11-09,true,false,false,2019-12-31,,,2019-12-31,2019-12-31,1282,755,43,117,117
2020,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2020-12-31,366,366,186,3704,2063,32,954708635,51803330,2020-09-13,74020,696,470,9,306886871,26746592,2020-09-14,true,false,false,2020-12-31,,,2020-12-31,2020-12-31,1262,745,186,117,117
2021,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2021-12-31,365,365,251,3095,2099,10,424901516,37992957,2021-07-20,97562,828,390,0,107441422,8941863,2021-07-20,true,false,false,2021-12-31,,,2021-12-31,2021-12-31,1275,744,365,117,117
2022,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2022-12-31,365,365,233,862,611,2,181690246,15824787,2022-06-16,113915,139,176,0,69717679,6647943,2022-10-19,true,false,false,2022-12-31,,,2022-12-31,2022-12-31,1265,743,179,117,117
2023,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2023-12-31,365,365,235,2852,2105,18,709156385,75374518,2023-06-29,88487,1561,333,6,159212849,16113895,2023-06-29,true,false,false,2023-12-31,,,2023-12-31,2023-12-31,1271,747,499,117,117
2024,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2024-12-31,366,366,250,976,770,6,275883125,21679672,2024-07-04,16290,204,133,2,76922760,16423613,2024-07-04,true,false,false,2024-12-31,,,2024-12-31,2024-12-31,1283,752,200,117,117
2025,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,calendar_year_snapshot_revisionable,final_aqs_daily,2025-12-31,365,365,217,1355,1035,9,336821988,26401151,2025-07-31,14182,70,144,1,70897661,11622045,2025-07-05,true,false,false,2025-12-31,,,2025-12-31,2025-12-31,1277,749,269,117,117
2026,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_AIRNOW_HMS_MONITOR_COINCIDENCE_V3,year_to_date_composite_snapshot,final_aqs_plus_preliminary_airnow,2026-07-18,199,199,79,692,516,4,214762361,58881904,2026-07-16,3022,8,87,3,45039644,11750701,2026-07-18,true,false,false,2026-05-31,2026-06-01,2026-07-18,2026-07-18,2026-07-18,1138,681,219,117,117
